StockInvestedin|Sector|SectorTotal|Value(Mn)|%ofTotalHoldings|1MChange|1YHighestHolding|1YLowestHolding|Quantity|1MChangeinQty|M-Cap|GroupName|funaname|date
AdityaBirlaFashionandRetailLtd.|Retailing|0.32|284.7|0.32|-0.32%|2.07%(Jun2019)|0.32%(May2020)|23.74L|-0.25Cr|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
RaymondLtd.|Fabricsandgarments|0.39|281.7|0.32|-0.02%|1.26%(Jun2019)|0.32%(May2020)|12.57L|0.00|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
TitanCompanyLtd.|Gems,jewelleryandwatches|0.24|210.4|0.24|-0.02%|0.8%(Mar2020)|0.09%(Oct2019)|2.36L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
KotakMahindraBankLtd.|Banks|19.07|197.4|0.22|-0.20%|1.59%(Jul2019)|0.22%(May2020)|1.61L|-1.14L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
InfoEdge(India)Ltd.|Itenabledservices–software|0.16|142.2|0.16|0.01%|1.16%(Oct2019)|0.08%(Feb2020)|52.97k|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
EquitasHoldingsLtd.|Investmentcompanies|0.16|140.3|0.16|-0.07%|1.07%(Jun2019)|0.16%(May2020)|33.13L|-5.93L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
NationalAluminiumCo.Ltd.|Aluminium|0.08|74.5|0.08|-0.01%|0.38%(Sep2019)|0.08%(May2020)|25.34L|0.00|SmallCap|9.74|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|7.28|44.6|0.05|0.05%|0.05%(May2020)|0%(Jun2019)|2.01L|2.01L|Other|10.09|mirae-asset-emerging-bluechip-fund-direct-plan|29-06-2020
HDFCBankLtd.|Banks|19.07|5881.7|6.68|-0.54%|7.22%(Apr2020)|5.84%(Jul2019)|61.81L|-1.90L|Other|10.09|mirae-asset-emerging-bluechip-fund|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|7.28|4827.7|5.48|0.01%|5.59%(Mar2020)|3.07%(Jun2019)|32.97L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
ICICIBankLtd.|Banks|19.07|3638|4.13|-0.58%|6.27%(Jul2019)|4.13%(May2020)|1.10Cr|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
AxisBankLtd.|Banks|19.07|3299.3|3.75|-0.57%|4.54%(Feb2020)|3.23%(Nov2019)|85.71L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
InfosysLtd.|Computers-software|8.6|3094.1|3.51|0.58%|3.51%(May2020)|2.07%(Aug2019)|44.78L|8.55L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|4.82|2653.5|3.01|0.12%|3.55%(Jan2020)|2.13%(Jul2019)|28.46L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
MaxFinancialServicesLtd.|Nbfc|5.6|2533.3|2.88|0.24%|2.88%(May2020)|2.03%(Jun2019)|52.74L|3.16L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
StateBankOfIndia|Banks|19.07|2453.4|2.79|-0.24%|4.78%(Nov2019)|2.79%(May2020)|1.52Cr|11.90L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
TataConsultancyServicesLtd.|Computers-software|8.6|2323.4|2.64|-0.05%|2.9%(Mar2020)|1.81%(Aug2019)|11.78L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
MindtreeLtd.|Computers-software|8.6|2158.8|2.45|0.04%|2.45%(May2020)|0%(Jun2019)|24.13L|90.48k|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
TataConsumerProductsLtd.|Tea&coffee|2.31|2036.7|2.31|-0.44%|3.31%(Jun2019)|1.34%(Feb2020)|55.51L|-0.14Cr|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|2.27|2001.1|2.27|0.11%|2.32%(Feb2020)|1.63%(Jan2020)|3.57L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
GujaratStatePetronetLtd.|Gastransmission/marketing|2.15|1895.7|2.15|-0.10%|2.48%(Jan2020)|1.9%(Jun2019)|95.98L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
SunPharmaceuticalIndustriesLtd.|Pharmaceuticals|8.7|1876.2|2.13|0.26%|2.13%(May2020)|1.15%(Jan2020)|39.56L|3.89L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
NationalThermalPowerCorporationLtd.|Power|2.12|1864.9|2.12|0.23%|2.12%(May2020)|1.4%(Jan2020)|1.91Cr|14.80L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
BalkrishnaIndustriesLtd.|Tyres&allied|2.83|1846.6|2.10|0.29%|2.27%(Dec2019)|1.59%(Mar2020)|17.12L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
ITCLimited|Cigarettes|2.03|1786.3|2.03|0.16%|2.26%(Mar2020)|0%(Jun2019)|90.51L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
TataChemicalsLtd.|Chemicals-inorganic|1.99|1750.7|1.99|0.16%|2.07%(Feb2020)|0.92%(Oct2019)|57.13L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
BharatElectronicsLtd.|Industrialelectronics|1.97|1730.8|1.97|0.10%|2.14%(Mar2020)|0.16%(Nov2019)|2.50Cr|21.77L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
HDFCStandardLifeInsuranceCompanyLtd.|Insurance|1.96|1722.2|1.96|0.09%|1.96%(Mar2020)|0.25%(Oct2019)|32.92L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
AjantaPharmaLimited|Pharmaceuticals|8.7|1696.4|1.93|-0.03%|2.34%(Mar2020)|1.45%(Jun2019)|11.13L|-0.50L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
VoltasLimited|Engineering,designing,construction|4.82|1591.8|1.81|-0.09%|3.31%(Aug2019)|1.81%(May2020)|33.15L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
DaburIndiaLtd.|Personalcare|3.98|1590.4|1.81|0.93%|2.1%(Jul2019)|0.88%(Apr2020)|34.10L|18.28L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
HindustanPetroleumCorporationLtd.|Refineries/marketing|7.28|1539.4|1.75|-0.22%|2.03%(Mar2020)|1.39%(Jun2019)|79.12L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
HindustanUnileverLtd.|Diversified|1.73|1519.8|1.73|1.33%|1.73%(May2020)|0%(Jun2019)|7.39L|5.81L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
HavellsIndiaLtd.|Consumerelctronics|1.7|1499.2|1.70|0.14%|1.7%(May2020)|0.24%(Sep2019)|30.21L|5.65L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
KansaiNerolacPaintsLtd.|Paints|1.7|1495.3|1.70|-0.19%|1.89%(Apr2020)|0.94%(Jun2019)|41.13L|70.65k|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
SyngeneInternationalLtd.|Pharmaceuticals|8.7|1460.7|1.66|-0.06%|1.74%(Dec2019)|1.5%(Nov2019)|40.91L|-6.29L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
IndianEnergyExchangeLtd.|Capitalmarkets|1.65|1450.5|1.65|0.44%|1.65%(May2020)|0.81%(Jun2019)|88.55L|17.48L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
PowerFinanceCorporationLtd.|Financialinstitution|1.62|1422.8|1.62|-0.21%|2.1%(Mar2020)|0.98%(Sep2019)|1.89Cr|20.20L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
VinatiOrganicsLtd.|Chemicals-speciality|2.79|1367.6|1.55|0.07%|2.47%(Aug2019)|1.07%(Feb2020)|13.45L|11.59k|Other|10.09|mirae-asset-emerging-bluechip-fund|29-06-2020
IndusindBankLtd.|Banks|19.07|1317|1.50|-0.28%|3.19%(Jul2019)|0%(Jun2019)|33.45L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
SKFIndiaLtd.|Bearings|1.49|1315.3|1.49|0.54%|1.49%(May2020)|0%(Jun2019)|9.11L|3.43L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
CholamandalamInvestment&FinanceCo.Ltd.|Nbfc|5.6|1271.9|1.44|-0.18%|1.62%(Apr2020)|0%(Jun2019)|89.76L|0.00|Other|10.09|mirae-asset-emerging-bluechip-fund|29-06-2020
#BhartiAirtelLtd.|Telecom-services|1.43|1256.6|1.43|1.43%|1.43%(May2020)|0%(Jun2019)|22.74L|22.74L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
EmamiLtd.|Personalcare|3.98|1219.7|1.38|-0.03%|1.42%(Apr2020)|0%(Jun2019)|62.60L|-1.80L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
NATCOPharmaLtd.|Pharmaceuticals|8.7|1177.9|1.34|-0.07%|1.47%(Aug2019)|1.12%(Feb2020)|20.32L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
SRFLtd.|Chemicals-speciality|2.79|1088.7|1.24|-0.31%|1.55%(Apr2020)|0.7%(Jun2019)|3.12L|-0.56L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
TVSMotorCompanyLtd.|Motorcycles/scooters|1.23|1084.9|1.23|0.27%|1.64%(Nov2019)|0.86%(Aug2019)|32.30L|6.35L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
J.K.CementLtd.|Cement|1.2|1056.6|1.20|0.05%|1.28%(Feb2020)|0.95%(Sep2019)|9.04L|0.00|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
LupinLtd.|Pharmaceuticals|8.7|1024|1.16|-0.54%|1.7%(Apr2020)|0%(Jun2019)|11.77L|-6.24L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
DR.LALPATHLABSLtd.|Healthcareserviceproviders|0.93|818.3|0.93|-0.13%|1.85%(Jan2020)|0.93%(May2020)|5.34L|-0.58L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
MuthootFinancePvt.Ltd.|Nbfc|5.6|802.4|0.91|-0.24%|2.2%(Jul2019)|0.91%(May2020)|9.30L|-2.45L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
JyothyLaboratoriesLtd.|Personalcare|3.98|693.3|0.79|-0.07%|1.02%(Jan2020)|0.79%(May2020)|65.44L|50.00k|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
CeatLtd.|Tyres&allied|2.83|643.1|0.73|0.09%|0.73%(May2020)|0.12%(Jul2019)|7.94L|89.85k|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
AshokLeylandLtd.|Commercialvehicles|0.72|631.7|0.72|0.02%|0.76%(Mar2020)|0%(Jun2019)|1.49Cr|31.80L|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
IpcaLaboratoriesLtd.|Pharmaceuticals|8.7|423.8|0.48|-0.04%|1.77%(Dec2019)|0.48%(May2020)|2.84L|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
GatewayDistriparksLtd.|Logisticssolutionprovider|0.46|404.4|0.46|-0.07%|0.67%(Jan2020)|0.41%(Oct2019)|53.32L|2.30L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
SBICardsandPaymentServicesLtd.|Nbfc|5.6|329.9|0.37|-0.27%|0.8%(Mar2020)|0%(Jun2019)|6.12L|-3.45L|Other|10.09|mirae-asset-emerging-bluechip-fund|29-06-2020
AdityaBirlaFashionandRetailLtd.|Retailing|0.32|284.7|0.32|-0.32%|2.07%(Jun2019)|0.32%(May2020)|23.74L|-0.25Cr|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
RaymondLtd.|Fabricsandgarments|0.39|281.7|0.32|-0.02%|1.26%(Jun2019)|0.32%(May2020)|12.57L|0.00|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
TitanCompanyLtd.|Gems,jewelleryandwatches|0.24|210.4|0.24|-0.02%|0.8%(Mar2020)|0.09%(Oct2019)|2.36L|0.00|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
KotakMahindraBankLtd.|Banks|19.07|197.4|0.22|-0.20%|1.59%(Jul2019)|0.22%(May2020)|1.61L|-1.14L|LargeCap|47.4|mirae-asset-emerging-bluechip-fund|29-06-2020
InfoEdge(India)Ltd.|Itenabledservices–software|0.16|142.2|0.16|0.01%|1.16%(Oct2019)|0.08%(Feb2020)|52.97k|0.00|MidCap|30.49|mirae-asset-emerging-bluechip-fund|29-06-2020
EquitasHoldingsLtd.|Investmentcompanies|0.16|140.3|0.16|-0.07%|1.07%(Jun2019)|0.16%(May2020)|33.13L|-5.93L|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
NationalAluminiumCo.Ltd.|Aluminium|0.08|74.5|0.08|-0.01%|0.38%(Sep2019)|0.08%(May2020)|25.34L|0.00|SmallCap|9.74|mirae-asset-emerging-bluechip-fund|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|7.28|44.6|0.05|0.05%|0.05%(May2020)|0%(Jun2019)|2.01L|2.01L|Other|10.09|mirae-asset-emerging-bluechip-fund|29-06-2020
HDFCBankLtd.|Banks|22.23|2894.8|8.63|1.33%|9.63%(Jun2019)|6.52%(Mar2020)|30.42L|5.58L|Other|9.76|hdfc-capital-builder-value-fund|29-06-2020
ICICIBankLtd.|Banks|22.23|2256.1|6.72|2.11%|6.72%(May2020)|3.94%(Jun2019)|67.97L|26.65L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|8.71|2223.5|6.63|1.07%|6.63%(May2020)|4.28%(Jun2019)|15.18L|2.25L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
ITCLimited|Cigarettes|6.17|2071.9|6.17|-0.33%|7.08%(Mar2020)|3.91%(Jun2019)|1.05Cr|-0.17Cr|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
InfosysLtd.|Computers-software|9.28|1998.2|5.95|0.87%|5.95%(May2020)|2.96%(Jun2019)|28.92L|4.70L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
AxisBankLtd.|Banks|22.23|1540.6|4.59|-1.20%|6.41%(Feb2020)|4.59%(May2020)|40.02L|-4.37L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
AurobindoPharmaLtd.|Pharmaceuticals|6.64|1289|3.84|0.67%|3.84%(May2020)|1.3%(Jun2019)|17.29L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|3.87|1053.1|3.14|0.17%|3.41%(Sep2019)|2.97%(Dec2019)|11.30L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
KotakMahindraBankLtd.|Banks|22.23|769.3|2.29|0.89%|4.66%(Jul2019)|1.4%(Apr2020)|6.29L|2.78L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
#BhartiAirtelLtd.|Telecom-services|2.27|760.4|2.27|2.27%|2.27%(May2020)|0%(Jun2019)|13.76L|13.76L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
BharatPetroleumCorporationLtd.|Refineries/marketing|8.71|677|2.02|-0.12%|4.31%(Sep2019)|1.63%(Feb2020)|19.75L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
HousingDevelopmentFinanceCorporationLtd.|Housingfinance|2.01|674.2|2.01|-0.86%|2.87%(Apr2020)|0.94%(Sep2019)|4.06L|-1.04L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
NationalThermalPowerCorporationLtd.|Power|1.86|624.7|1.86|0.08%|1.86%(May2020)|1.53%(Nov2019)|63.85L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
OracleFinancialServicesSoftwareLimited|Itenabledservices–software|3.22|595.5|1.77|0.12%|1.77%(May2020)|0.88%(Dec2019)|2.39L|0.00|MidCap|7.68|hdfc-capital-builder-value-fund|29-06-2020
AmbujaCementsLtd.|Cement|1.73|580.5|1.73|0.20%|2.01%(Jul2019)|1.1%(Dec2019)|30.31L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
CoalIndiaLtd.|Industrialminerals|1.54|518.1|1.54|-0.06%|1.74%(Mar2020)|0.87%(Aug2019)|36.66L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
#ApolloHospitalsEnterprisesLtd.|Hospital|1.51|507.5|1.51|1.51%|1.51%(May2020)|0%(Jun2019)|3.74L|3.74L|MidCap|7.68|hdfc-capital-builder-value-fund|29-06-2020
GAIL(India)Ltd.|Gastransmission/marketing|1.51|506.6|1.51|-1.47%|2.98%(Apr2020)|1.51%(May2020)|54.86L|-0.51Cr|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
#HCLTechnologiesLimited|Computers-software|9.28|492.5|1.47|1.47%|1.47%(May2020)|0%(Jun2019)|8.95L|8.95L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
IndocoRemediesLtd.|Pharmaceuticals|6.64|451.9|1.35|-0.16%|1.64%(Mar2020)|0.73%(Jun2019)|21.42L|-0.63L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
VedantaLtd.|Copper&copperproducts|1.28|428.1|1.28|0.06%|3.29%(Jun2019)|0.84%(Feb2020)|46.43L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
MaxFinancialServicesLtd.|Nbfc|2.28|383.4|1.14|-0.30%|2.27%(Mar2020)|1.14%(May2020)|7.98L|-2.50L|MidCap|7.68|hdfc-capital-builder-value-fund|29-06-2020
Oil&NaturalGasCorporationLtd.|Oilexploration|1.14|382.5|1.14|0.06%|1.18%(Mar2020)|0%(Jun2019)|45.97L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
SHKelkar&CompanyLtd.|Consumerproducts|2.1|359.6|1.07|-0.27%|1.81%(Sep2019)|1.07%(May2020)|65.37L|-4.60L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
SBILifeInsuranceCoLtd.|Insurance|1.04|348.7|1.04|0.07%|1.04%(May2020)|0%(Jun2019)|4.54L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
AdvancedEnzymeTechnologiesLtd.|Consumerproducts|2.1|345.4|1.03|0.04%|1.26%(Mar2020)|0.9%(Jul2019)|23.03L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
PersistentSystemsLtd.|Computers-software|9.28|340.6|1.01|-0.66%|2.41%(Sep2019)|1.01%(May2020)|6.48L|-5.50L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
L&TTechnologyServicesLtd.|Itenabledservices–software|3.22|331.9|0.99|-0.04%|1.09%(Jan2020)|0%(Jun2019)|2.83L|0.00|MidCap|7.68|hdfc-capital-builder-value-fund|29-06-2020
#CiplaLtd.|Pharmaceuticals|6.64|324.1|0.97|0.97%|0.97%(May2020)|0%(Jun2019)|5.00L|5.00L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
EmamiLtd.|Personalcare|0.93|310.3|0.92|0.01%|0.92%(May2020)|0%(Jun2019)|15.92L|0.00|MidCap|7.68|hdfc-capital-builder-value-fund|29-06-2020
HeroMotocorpLtd.|Motorcycles/scooters|0.92|308.4|0.92|0.54%|0.92%(May2020)|0%(Jun2019)|1.31L|70.85k|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
BhartiInfratelLtd.|Telecom-equipment|0.89|298.2|0.89|0.37%|1.16%(Jan2020)|0%(Jun2019)|12.97L|2.85L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
VRLLogisticLtd.|Logisticssolutionprovider|0.98|296.7|0.88|-0.10%|1.29%(Jan2020)|0.88%(May2020)|20.16L|-0.21L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
NewgenSoftwareTechnologiesLtd.|Computers-software|9.28|286.2|0.85|-0.20%|1.05%(Apr2020)|0.68%(Oct2019)|20.65L|-5.85L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
ChambalFertilizers&ChemicalsLtd.|Fertilisers-composite|0.82|274.7|0.82|-0.15%|1.05%(Jan2020)|0.82%(May2020)|21.16L|-4.27L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
TrentLimited|Retailing|1.83|269.9|0.80|-0.05%|1.26%(Jan2020)|0.8%(May2020)|5.76L|0.00|MidCap|7.68|hdfc-capital-builder-value-fund|29-06-2020
SolarIndustriesIndiaLtd.|Explosives|0.73|245.1|0.73|-0.08%|0.97%(Mar2020)|0.73%(May2020)|2.75L|-0.39L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
AshokaBuildconLtd.|Engineering,designing,construction|3.87|220.4|0.66|-0.18%|1.17%(Jan2020)|0.63%(Mar2020)|44.81L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
GujaratPipavavPortLtd.|Port|0.62|207.2|0.62|0.01%|0.74%(Mar2020)|0.61%(Apr2020)|34.08L|-2.12L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
DilipBuildconLtd.|Constructioncivil|0.6|200.4|0.60|0.01%|0.74%(Oct2019)|0.55%(Mar2020)|7.70L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
MishraDhatuNigamLtd.|Steel|0.6|201.9|0.60|-0.03%|0.63%(Apr2020)|0%(Jun2019)|10.01L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
INOXLeisureLtd.|Flimproduction,distribution&exhibition|0.59|199.2|0.59|-0.01%|1.32%(Oct2019)|0.59%(May2020)|9.70L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
SBICardsandPaymentServicesLtd.|Nbfc|2.28|196.7|0.59|-0.05%|0.64%(Apr2020)|0%(Jun2019)|3.65L|0.00|Other|9.76|hdfc-capital-builder-value-fund|29-06-2020
BharatDynamicsLtd.|Defense|0.57|190.9|0.57|0.05%|0.62%(Nov2019)|0.51%(Mar2020)|8.12L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
AvenueSupermartsLtd.|Retailing|1.83|184.3|0.55|-0.02%|0.6%(Mar2020)|0%(Jun2019)|81.20k|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
ShriramTransportFinanceCo.Ltd.|Nbfc|2.28|186|0.55|-0.19%|1.04%(Dec2019)|0%(Jun2019)|3.25L|0.00|MidCap|7.68|hdfc-capital-builder-value-fund|29-06-2020
BlueStarLtd.|Airconditioner|0.54|180.6|0.54|-0.04%|0.69%(Feb2020)|0.54%(Jul2019)|3.68L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
#IndiamartIntermeshLtd.|Retailing|1.83|161|0.48|0.48%|0.48%(May2020)|0%(Jun2019)|65.00k|65.00k|Other|9.76|hdfc-capital-builder-value-fund|29-06-2020
#LupinLtd.|Pharmaceuticals|6.64|160.9|0.48|0.48%|0.48%(May2020)|0%(Jun2019)|1.85L|1.85L|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
TejasNetworksLtd.|Telecom-cables|0.47|157.4|0.47|-0.05%|0.88%(Nov2019)|0%(Jun2019)|47.63L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
#JustDialLtd.|Itenabledservices–software|3.22|155.8|0.46|0.46%|0.46%(May2020)|0%(Jun2019)|3.97L|3.97L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
RadicoKhaitanLtd.|Brew/distilleries|0.46|155.5|0.46|0.05%|0.46%(May2020)|0%(Jun2019)|4.71L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
ZeeEntertainmentEnterprisesLtd.|Tvbroadcasting&softwareproduction|0.63|147.4|0.44|0.06%|0.7%(Aug2019)|0.34%(Mar2020)|8.03L|0.00|LargeCap|61.45|hdfc-capital-builder-value-fund|29-06-2020
SitiNetworksLtd.|Tvbroadcasting&softwareproduction|0.63|63|0.19|0.08%|0.19%(May2020)|0.06%(Mar2020)|3.00Cr|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
#TCIExpressLtd.|Logisticssolutionprovider|0.98|33.7|0.10|0.10%|0.1%(May2020)|0%(Jun2019)|52.20k|52.20k|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
SadbhavInfrastructureProjectLtd.|Engineering,designing,construction|3.87|25.1|0.07|-0.02%|0.26%(Jul2019)|0.07%(May2020)|16.38L|0.00|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|8.71|19.2|0.06|0.06%|0.06%(May2020)|0%(Jun2019)|86.24k|86.24k|Other|9.76|hdfc-capital-builder-value-fund|29-06-2020
#TubeInvestmentsOfIndiaLtd.|Autoancillaries|0.05|16.4|0.05|0.05%|0.05%(May2020)|0%(Jun2019)|44.60k|44.60k|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
BajajConsumerCareLtd.|Personalcare|0.93|4.1|0.01|-0.08%|1.23%(Jun2019)|0.01%(May2020)|31.21k|-1.72L|SmallCap|15.02|hdfc-capital-builder-value-fund|29-06-2020
ICICIBankLtd.|Banks|21.07|4456|7.76|-0.97%|9.93%(Nov2019)|7.76%(May2020)|1.34Cr|0.00|LargeCap|76.95|hdfc-capital-builder-value-fund|29-06-2020
NationalThermalPowerCorporationLtd.|Power|9.8|4447.8|7.74|0.35%|8.46%(Jun2019)|7%(Jan2020)|4.55Cr|0.00|LargeCap|76.95|hdfc-capital-builder-value-fund|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|13.54|4311.9|7.51|0.12%|8.86%(Sep2019)|5.67%(Jan2020)|29.45L|0.00|LargeCap|76.95|hdfc-capital-builder-value-fund|29-06-2020
InfosysLtd.|Computers-software|7.31|4122.4|7.18|-0.12%|9.05%(Aug2019)|5.52%(Oct2019)|59.66L|0.00|LargeCap|76.95|hdfc-capital-builder-value-fund|29-06-2020
HDFCBankLtd.|Banks|21.07|3817.1|6.65|-0.23%|7.33%(Sep2019)|6.65%(May2020)|40.11L|0.00|Other|6.75|hdfc-capital-builder-value-fund|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|5.66|3036.8|5.29|0.29%|6.64%(Sep2019)|5%(Apr2020)|32.57L|0.00|LargeCap|76.95|hdfc-capital-builder-value-fund|29-06-2020
